Title,Category,Price,Product Code/ SKU,Short Description,Long Description,How to Use,Active Ingredients,Product URL
Cetrine Hayfever Allergy Relief 10mg Cetirizine Tablets,Medicines->Hayfever and Allergy Relief->Antihistamines  ,2.95 - 4.95,P-CETRINE-CETIRIZINE,"Cetrine (Cetirizine) is a non-drowsy antihistamine used for the relief of the symptoms of hayfever (seasonal allergic rhinitis) and allergies such as dust or pet allergies (perennial allergic rhinitis)and rashes associated with hives and itching (chronic idiopathic urticaria). Symptoms relieved can include sneezing, runny or blocked nose, red or watery eyes and red, itchy skin.  Each film-coated tablet contains 10mg Cetrizine Dihydrochloride.  You Must Be Aged Over 18 Years To Purchase This Product.  Maximum order quantity of 180 tablets per order.  You may also like our  liquid Cetirizine 200ml  only €7.95","Cetrine  Hayfever Relief Tablets contain Cetirizine Dihydrochloride 10mg, in a film coated tablet. These tablets contain lactose.  What are Cetriz (Cetirizine) Tablets for? Cetirizine is an antihistamine, indicated for the relief of symptoms of hayfever (seasonal allergic rhinitis), perrenial allergic rhinitis and from hives and itching, also known as chronic idiopathic urticaria.  Who can take  Cetrine  (Cetirizine) Tablets? Adults and children aged over 6 years.  How to take  Cetrine  (Cetirizine) Tablets? Adults and adolescents aged over 12 years: Take one tablet (10mg) each day with a glass of water. Children aged 6-12 years: Half a tablet (5mg) twice daily with a glass of water.   If you are pregnant Cetrine  (Cetirizine) should not be taken by pregnant women.   Driving and using machinery Cetirizine is a non-drowsy drug in most people that take this medication. However, if you drive or operate machinery or take part in hazardous activities while taking this medication, you should closely observe your response to the drug.  Use of alcohol while taking Cetriz (Ceirizine) As with all antihistamine, it is recommended to avoid taking alcohol at the same time as this medication.   Common Side Effects  (up to 1 in 10 patients) Fatigue, dry mouth, nausea, diarrhoea, dizziness, headache, somnolence, sore throat, nasal inflammation.  KEEP ALL MEDICINES OUT OF THE EACH OF CHILDREN.  READ THE PATIENT LEAFLET BEFORE TAKING THIS MEDICATION.",Adults and adolescents aged over 12 years : Take one tablet (10mg) each day with a glass of water. Children aged 6-12 years : Half a tablet (5mg) twice daily with a glass of water.,Each film coated tablet contains 10mg of Cetirizine Dihydrochloride.,https://www.inishpharmacy.com/p/cetrine-hayfever-allergy-relief-10mg-cetirizine-tablets/p-cetrine-cetirizine
A. Vogel Echinaforce Cold & Flu Resistance Echinacea Drops 50ml,Vitamins,9.65,100251,"Echinaforce is a licensed traditional herbal remedy for colds and flu. It helps the body fight the symptoms of these infections by supporting the immune system, helping to maintain the body's resistance.","A traditional herbal remedy used for the symptomatic relief of colds, influenza type infections and similar upper respiratory tract conditions. This is the original extract formulated by Alfred Vogel and contains the tinctures of Echinacea purpurea herb and root. 0.6ml drops  equivalent to 285mg whole fresh plant. Also contains 65%v/v ethanol.  Echinacea is a plant native to America but is now cultivated extensively in Europe. The plants which go into our product are cultivated organically in Switzerland at our own herb farms. Up to 10 species of Echinacea have been identified, but only three (E. purpurea, E. angustifolia and E. pallida) are used medicinally. Echinacea purpurea is considered to be the one which has been most widely researched and this is the species we use.  A.Vogel is based in Roggwil, Switzerland and was founded in 1963 by Alfred Vogel, the eminent Swiss Naturopath and pioneer in natural health. Bioforce AG now supplies fresh herb tinctures and tablets to over 30 countries world-wide.","Adults, elderly and children over 12 years: 15 drops (0.6ml) of tincture in a small amount of water, 2 to 3 times daily.",Echinaforce ®  Echinacea is a licensed medicine made from fresh extracts of Echinacea purpurea herb (95%) and root (5%).,https://www.inishpharmacy.com/p/a-vogel-echinaforce-cold-and-flu-resistance-echinacea-drops-50ml/100251
A. Vogel Echinaforce Resistance Echinacea Drops 15ml,Vitamins,4.85,100233,"Echinaforce is a licensed traditional herbal remedy for colds and flu. It helps the body fight the symptoms of these infections by supporting the immune system, helping to maintain the body's resistance.","A traditional herbal remedy used for the symptomatic relief of colds, influenza type infections and similar upper respiratory tract conditions. This is the original extract formulated by Alfred Vogel and contains the tinctures of Echinacea purpurea herb and root. 0.6ml drops  equivalent to 285mg whole fresh plant. Also contains 65%v/v ethanol.  Echinacea is a plant native to America but is now cultivated extensively in Europe. The plants which go into our product are cultivated organically in Switzerland at our own herb farms. Up to 10 species of Echinacea have been identified, but only three (E. purpurea, E. angustifolia and E. pallida) are used medicinally. Echinacea purpurea is considered to be the one which has been most widely researched and this is the species we use.","Adults, elderly and children over 12 years: 15 drops (0.6ml) of tincture in a small amount of water, 2 to 3 times daily.",Echinaforce ®  Echinacea is a licensed medicine made from fresh extracts of Echinacea purpurea herb (95%) and root (5%).,https://www.inishpharmacy.com/p/a-vogel-echinaforce-resistance-echinacea-drops-15ml/100233
A. Vogel Echinaforce Hot Drink 100ml,"Health->Cold, Flu & Allergy",10.95,VOGELHOTDRINK100,A. Vogel Echinaforce hot drink is a soothing hot drink that is used to help alleviate the symptoms of cold and flu.  It contains fresh echinacea which is organically grown. It may help soothe symptoms such as headache and muscle ache.,,,,https://www.inishpharmacy.com/p/a-vogel-echinaforce-hot-drink-100ml/vogelhotdrink100
A. Vogel Echinaforce Cold & Flu Tablets 120 Pack,Vitamins->Herbal Remedies,7.65,avcold120,A. Vogel Echinaforce cold and flu tablets contain extracts of fresh echinacea purpurea herb and root.  It may help the symptoms of the common cold and flu when used over a long period of time.  It is not for use in those under 12 years old or if you are pregnant or breastfeeding.,,,,https://www.inishpharmacy.com/p/a-vogel-echinaforce-cold-and-flu-tablets-120-pack/avcold120
A. Vogel Echinaforce Forte Cold & Flu Tablets 40 Tablets,Vitamins,9.65,100232,"Echinaforce ®  Forte Cold & Flu tablets  A traditional herbal medicinal product used to relieve the symptoms of the common cold and influenza type infections, exclusively based upon long-standing use as a traditional remedy.","Echinaforce ®  Forte (750mg) is a higher strength echinacea tablet compared to the original 250mg echinacea tablets. It is made from the same herbal extract of freshly harvested, organically grown  Echinacea purpurea   Benefits and features of Echinaforce ®:  Forte   Helps fight the misery of colds and flu  High strength Echinacea tablet  Made from freshly harvested  Echinacea purpurea  herb and root","Directions for use:  Adults, the elderly and children over 12 years:  Take 1 tablet two to three times daily. Echinaforce ®  Forte is not suitable for children under 12 because of its high strength formulation. Do not use if you are allergic to Echinacea, other members of the daisy family or any of the other ingredients.","Ingredients:  Each 750mg tablet contains 1,140mg of extract (as dry extract) from fresh  Echinacea purpurea  (L.) Moench herb (1:12) and 60mg of extract (as dry extract) from fresh Echinacea purpurea (L.) Moench root (1:11). Extraction solvent: ethanol 65% v/v. The other ingredients used for the tablet are lactose, pregelatinised starch, magnesium stearate and soya polysaccharide.",https://www.inishpharmacy.com/p/a-vogel-echinaforce-forte-cold-and-flu-tablets-40-tablets/100232
A. Vogel Echinaforce Cold & Flu Chewable Tablets 40 Pack,"Health->Cold, Flu & Allergy",5.95,AVOGEL4553,A. Vogel Echinaforce cold and flu tablets come in a handy chewable pack.  It contains extracts of fresh echinacea purpurea herb and root.  It may help ease the symptoms of the common cold and flu when used over a long period of time.  It is not for use in those under 12 years old or if you are pregnant or breastfeeding.,,,,https://www.inishpharmacy.com/p/a-vogel-echinaforce-cold-and-flu-chewable-tablets-40-pack/avogel4553
A. Vogel Echinaforce Cold & Flu Drops 100ml,Vitamins->Herbal Remedies,14.95,av1171,A.Vogel Enchinaforce Cold & Flu drops is a natural remedy that can be used to help fight off colds and flu. This flu drop helps support the immune system to maintain the body’s resistance against flu’s and colds.,,,,https://www.inishpharmacy.com/p/a-vogel-echinaforce-cold-and-flu-drops-100ml/av1171
A. Vogel Cough Spray 30ml,Vitamins->Herbal Remedies,10.95,avspray,"The A.Vogel Cough Spray has been formulated to help with dry and tickly coughs. This spray helps by reducing any irritation to the throat by creating a film layer in the throat. It contains natural herbs such as mullein, marshmallow and honey. This is a non-drowsy spray and suitable for children aged 4+.","A.Vogel is based in Roggwil, Switzerland and was founded in 1963 by Alfred Vogel, the eminent Swiss Naturopath and pioneer in natural health. Bioforce AG now supplies fresh herb tinctures and tablets to over 30 countries world-wide.   The majority of herbs used to produce the A.Vogel range are grown using a strict organic protocol, mainly in the fertile conditions of Roggwil. This allows the company to exert complete control over the cultivation of plants, from planting through to harvesting, using Good Agricultural and Collection Practice (GACP). A.Vogel have complete traceability of their raw material and grow their own herbs.",,,https://www.inishpharmacy.com/p/a-vogel-cough-spray-30ml/avspray
A. Vogel Echinacea Lozenges 30g,"Health->Cold, Flu & Allergy",2.10,AVOGEL5556,"A. Vogel Echinacea lozenges is a herbal remedy which may help the immune system in protecting us.  It has been known to help alleviate symptoms associated with the common cold such as sore throats and coughs.  It is organically grown and contains no artificial colours or anti-oxidants.  It is gluten free, lactose free and GMO free.",,,,https://www.inishpharmacy.com/p/a-vogel-echinacea-lozenges-30g/avogel5556
