Title,Category,Price,Product Code/ SKU,Short Description,Long Description,How to Use,Active Ingredients,Product URL
Cavilon Durable Barrier Cream 92g,Health,17.50,400288,"Cavilon  Durable Barrier Cream provides unique, long-lasting protection from bodily fluids whilst moisturising the skin. It is recommended to prevent skin breakdown on intact skin, and its highly concentrated formula means a little goes a long way.","Indications for Use   As a barrier against irritation from body fluids  Prevention of skin damage associated with incontinence  As a moisturiser for severely dry or chapped skin   Features & Benefits   Highly concentrated so a little goes a long way (apply in pea-sized amounts only)  Proven to reduce incontinence dermatitis and reduce incidence of broken skin when used as part of a sacral skin care protocol  Non–petrolatum based so will not clog or reduce the absorbency of incontinence pad linings  Wash-off resistant – no need for application every wash  Does not decrease tape or dressing adhesion – allows tapes to stick  Hypoallergenic and pH balanced   Precautions   Apply sparingly. If the after-feel is oily, you have applied too much  Cavilon  Durable Barrier Cream may increase the adherence of some adhesive products. Persons with fragile skin should avoid using the cream under all adhesive products  Not to be used on infected areas of the skin - for example fungal infections    Additional Information  Cavilon  Durable Barrier Cream protects intact or at 'at-risk' or injured skin against bodily fluids such as urine and faeces, and is ideal to prevent skin breakdown in incontinent patients. It is also an effective moisturiser for severely dry skin. It can be used in conjunction with moisture retentive adhesive dressings that promote healing, such as transparent film and hydrocolloids.",,"Water (Aqua), Diisooctyl Adipate, Acrylate Terpolymer, Cocos Nucifera (Coconut) Oil, PPG-15 Stearyl Ether, Glycerin, Isopropyl Palmitate, White Mineral Oil (Paraffinum Liquidum), Trimethylsiloxysilicate, Paraffin, Dimethicone, Phenoxyethanol, Benzoic Acid, Dehydroacetic Acid, Magnesium Sulfate.",https://www.inishpharmacy.com/p/cavilon-durable-barrier-cream-92g/400288
Always Discreet For Sensitive Bladder Liners Plus 20 Pack,Health->Embarassing Conditions->Bladder Weakness,2.50,ALLINERSPLUS20,"Always Discreet For Sensitive Bladder Liners Plus 20 Pack are perfect for use by those who suffer occasional leakage when sneezing or coughing. The rapid dry and dual lock protection locks away moisture and the exclusive odour lock technology, which is lightly scented prevents the risk of odours. These pads are ultra-thin and longer than the normal pads for extra protection and comfort.",,,,https://www.inishpharmacy.com/p/always-discreet-for-sensitive-bladder-liners-plus-20-pack/allinersplus20
Always Discreet For Sensitive Bladder Small Pads 20 Pack,Health->Continence Care->Pads,3.65,ALDISCREETSMALL,"Always Discreet for Sensitive Bladder Small are perfect for use by those who suffer occasional leakage when sneezing or coughing. The rapid dry and dual lock protection locks away moisture and the exclusive odour lock technology, which is lightly scented prevents the risk of odours. These pads are ultra-thin for maximum comfort.",,,,https://www.inishpharmacy.com/p/always-discreet-for-sensitive-bladder-small-pads-20-pack/aldiscreetsmall
Always Discreet For Sensitive Bladder Normal Pads 12 Pack,Health->Continence Care->Pads,2.95,ALWAYS6499,"Always Discreet for Sensitive Bladder Normal Pads 12 Pack are perfect for use by those who suffer occasional leakage when sneezing or coughing. The rapid dry and dual lock protection locks away moisture and the exclusive odour lock technology, which is lightly scented prevents the risk of odours. These pads are ultra-thin and longer than the small pads for maximum comfort.",,,,https://www.inishpharmacy.com/p/always-discreet-for-sensitive-bladder-normal-pads-12-pack/always6499
Always Discreet For Sensitive Bladder Long Pads 10 Pack,Health->Embarassing Conditions->Bladder Weakness,2.95,ALWAYS3896,"Always Discreet for Sensitive Bladder Long Pads 10 Pack are perfect for use by those who suffer occasional leakage when sneezing or coughing. The rapid dry and dual lock protection locks away moisture and the exclusive odour lock technology, which is lightly scented prevents the risk of odours. These pads are ultra-thin and longer than the normal pads for extra protection and comfort.",,,,https://www.inishpharmacy.com/p/always-discreet-for-sensitive-bladder-long-pads-10-pack/always3896
Always Discreet Underwear Low Rise Pants Medium 12 Pack,Health->Continence Care->Pants,8.95,ALLOWRISEMED,"Always Discreet Underwear Low Rise Pants Medium 12 Pack provide protection from wetness if you suffer from bladder weakness or unintentional frequent urination. These low-rise pants are discrete and comfortable due to their cotton like feel. They have a triple layer, double leak guard to prevent leakage and an exclusive odour lock technology which is lightly scented to eliminate odours. These pants allow you to carry out a normal day without worry.",,,,https://www.inishpharmacy.com/p/always-discreet-underwear-low-rise-pants-medium-12-pack/allowrisemed
Always Discreet Boutique Pants Plus Medium 9 Pack,Health->Continence Care->Pants,9.95,91185196,Always Discreet Boutique Pants Plus are beautifully designed underwear for bladder sensitivity.  Their highly absorbent and feminine pants are dependable.  The super absorbent core turns liquid into gel leaving you feeling fresher for longer.  Odourlock technology neutralises odours instantly as well as having double leak guards which keep wetness away from the sides.,,,,https://www.inishpharmacy.com/p/always-discreet-boutique-pants-plus-medium-9-pack/91185196
Always Discreet For Sensitive Bladder Liners 24 Pack,Health->Embarassing Conditions->Bladder Weakness,2.50,ALLINERSPINK24,"Always Discreet for Sensitive Bladder Liners 24 Pack are perfect for use by those who suffer occasional leakage when sneezing or coughing. The rapid dry and dual lock protection locks away moisture and the exclusive odour lock technology, which is lightly scented prevents the risk of odours. These pads are ultra-thin for added comfort.",,,,https://www.inishpharmacy.com/p/always-discreet-for-sensitive-bladder-liners-24-pack/allinerspink24
Always Discreet Boutique Pants Plus Large 8 Pack,Health->Continence Care->Pants,9.95,91185235,Always Discreet Boutique Pants Plus are beautifully designed underwear for bladder sensitivity.  Their highly absorbent and feminine pants are dependable.  The super absorbent core turns liquid into gel leaving you feeling fresher for longer.  Odour lock technology neutralises odours instantly as well as having double leak guards which keep wetness away from the sides.,,,,https://www.inishpharmacy.com/p/always-discreet-boutique-pants-plus-large-8-pack/91185235
Always Dailies Pantyliners Large 28 Pack,Toiletries->Toiletries For Her->Towels & Liners,2.60,900045,"Always pantyliners are discreet, with soft, breathable materials for all day comfort and freshness. Always Liners Large contain 28 pantyliners",,,,https://www.inishpharmacy.com/p/always-dailies-pantyliners-large-28-pack/900045
