Title,Category,Price,Product Code/ SKU,Short Description,Long Description,How to Use,Active Ingredients,Product URL
Freestyle Libre Sensor,Health->Diabetes Care,69.95,freestyle-libre,"The Freestyle Libre Sensor, from Abbott, is a 14 day sensor for use with the Freestyle Libre Reader and allows the blood glucose reading to eb scanned in 1 second. The sensor pack and sensor applicatior are packaged as a set and intended to be used together. Pack Contains   1 x Sensor Applicator  1 x Sensor Pack  2 x Alcohol Wipes  Product Insert",,,,https://www.inishpharmacy.com/p/freestyle-libre-sensor/freestyle-libre
Contour Next Blood Glucose Test Strips 50 Pack,Health,32.99,401544,,,,,https://www.inishpharmacy.com/p/contour-next-blood-glucose-test-strips-50-pack/401544
FreeStyle Optium Neo Blood Glucose and Ketone Monitoring System,Health,29.99,401522,,,,,https://www.inishpharmacy.com/p/freestyle-optium-neo-blood-glucose-and-ketone-monitoring-system/401522
FreeStyle Optium B-Ketone Test Strips 10 Pack,Health,34.95,401536,,,,,https://www.inishpharmacy.com/p/freestyle-optium-b-ketone-test-strips-10-pack/401536
FreeStyle Optium Blood Glucose Test Strips 50 Pack,Health->Diabetes Care->Test Strips,29.95,401550,,,,,https://www.inishpharmacy.com/p/freestyle-optium-blood-glucose-test-strips-50-pack/401550
Cryogesic Fine Spray 100ml,Health->Diabetes Care->Accessories ,33.95,344621,"Cryogesic Spray contains Ethyl Chloride and is a rapid-acting vapo-coolant spray, providing short term topical local analgesia for minor invasive procedures.   Numbing effect lasts for 30-45 seconds  Suitable for pre-injection  Suitable for diabetics",,,,https://www.inishpharmacy.com/p/cryogesic-fine-spray-100ml/344621
FreeStyle Lite Blood Glucose Test Strips - 50 Strips,Health,32.99,401526,,,,,https://www.inishpharmacy.com/p/freestyle-lite-blood-glucose-test-strips---50-strips/401526
Clinisan Emollient Skin Cleansing Foam 400ml,Health->Continence Care->Odour Control ,10.95,CLINISAN400ML,"Clinisan Emollient Skin Cleansing Foam cleans, soothes, conditions and protects the skin. It only contains emollients and moisturisers and is soap free, making it very gentle on sensitive skin.  The water-repellent barrier prevents the area re-wetting, helping avoid the skin from rubbing and getting sore. This foam cleanser is ideal for use on those who suffer from urinary or faecal incontinence as it is designed to gently remove soiling. Each bottle has a space for patients details if it is to be used in professional settings.",,,,https://www.inishpharmacy.com/p/clinisan-emollient-skin-cleansing-foam-400ml/clinisan400ml
Contour Blood Glucose Test Strips 50 Strips,Health,32.99,401548,,,,,https://www.inishpharmacy.com/p/contour-blood-glucose-test-strips-50-strips/401548
Accu-Chek Fastclix 204 Lancets,Health->Diabetes Care->Test Strips,20.95,FASTCLIX,Accu-check fast clix is easy to use and virtually pain-free product.  Simply prime and release in 1 click action.  It is simple and hygienic to use.  Each drum contains 6 lancets.,,,,https://www.inishpharmacy.com/p/accu-chek-fastclix-204-lancets/fastclix
Clinisan Emollient Skin Cleansing Foam 200ml,Health->Continence Care->Odour Control ,4.95,SEF200,"Clinisan Emollient Skin Cleansing Foam cleans, soothes, conditions and protects the skin. It only contains emollients and moisturisers and is soap free, making it very gentle on sensitive skin.  The water-repellent barrier prevents the area re-wetting, helping avoid the skin from rubbing and getting sore. This foam cleanser is ideal for use on those who suffer from urinary or faecal incontinence as it is designed to gently remove soiling. Each bottle has a space for patients details if it is to be used in professional settings.",,,,https://www.inishpharmacy.com/p/clinisan-emollient-skin-cleansing-foam-200ml/sef200
Accu-Chek Mobile Blood Glucose Monitoring System,Health,45.95,401523,,,,,https://www.inishpharmacy.com/p/accu-chek-mobile-blood-glucose-monitoring-system/401523
Accu-Chek Mobile 50 Test Cassette,Health,29.95,401547,,,,,https://www.inishpharmacy.com/p/accu-chek-mobile-50-test-cassette/401547
Apex Ultra Pill Crusher,Health->Diabetes Care->Accessories ,6.50,70071,The Apex Ultra Pill Crusher has been designed for those who find it hard to swallow pills as a whole. This pill crusher includes a powerful leverage which helps to easily crush hard to swallow pills. It also has a secure grip for those with limited strength.,,,,https://www.inishpharmacy.com/p/apex-ultra-pill-crusher/70071
Accu-Chek Aviva Test Strips,Health->Diabetes Care,29.95,aviva,,,,,https://www.inishpharmacy.com/p/accu-chek-aviva-test-strips/aviva
Accu-Chek Active Test Strips 50 Pack,Health->Diabetes Care->Test Strips,31.95,ACCU-ACTIVE,Accu-Chek Active Test Strips are primarily used to self-test the blood glucose level.  Place a drop of blood on the test strip and find out your results.  A quick and easy way to manage your blood glucose levels from your home.  These strips are only for use in Accu-Chek Active.,,,,https://www.inishpharmacy.com/p/accu-chek-active-test-strips-50-pack/accu-active
LamarQue Foot Files 10 Pack,Health->Other Healthcare->Footcare->Cracked Heel / Hard Skin,3.95,800937,"LamarQue Foot Files are for use on rough nails or skin on the feet. They are double sided and 18cm in length, suitable to carry in a purse or handbag.",,,,https://www.inishpharmacy.com/p/lamarque-foot-files-10-pack/800937
