Title,Category,Price,Product Code/ SKU,Short Description,Long Description,How to Use,Active Ingredients,Product URL
Bio-Oil,Mother & Baby->Pregnancy Care->Stretch Marks,7.50 - 17.95,P-300060,"Bio   Oil  for scars, stretch marks and dehydrated skin Bio Oil is an award winning specialist skincare product that helps improve the appearance of scars, stretch marks and uneven skin tone. Also it is highly effective for ageing and dehydrated skin. Bio Oil is a non-comedogenic, (acnegenic) hypo-allergenic product that is suitable for use by individual with sensitive skin. Bio Oil has won 183 skincare awards and has become the No. 1 selling scar and stretch mark product. Results vary from individual to individual.","Bio Oil helps reduces the appearance of all types of scars. Bio Oil should be applied only once the wound has healed and should never be used on broken skin. Older scars will benefit from regular use of Bio-Oil whilst younger scars have a greater chance of improvement over a shorter time. Bio Oil is formulated to help reduce the appearance of scars but it will never remove them entirely.  How to use Bio Oil on scars? Massage a few drops of Bio Oil in a circular motion into the scar and surrounding skin, twice daily, for a minimum of 3 months usage.  Bio Oil helps reduce the appearance of wrinkles. Sagging and wrinkled skin commonly associated with aging is largely caused by the weakening of the collagen and elastin support system in the dermis. Bio-Oil contains numerous ingredients that help to plasticize the skin, making it softer, smoother and more supple, thereby reducing the appearance of wrinkled and sagging skin. Bio-Oil also moisturizes, which improves the texture, tone and appearance of fine lines and wrinkles.  Bio Oil should be applied twice daily to the ageing skin.  Bio Oil helps improve the appearance of stretch marks. Stretch marks appear when the body expands faster than the covering skin, which causes the skin to tear and when the skin heals it scars, it is this scar which is known as stretch marks.  Stretch marks are permanent in nature, and although Bio Oil is formulated to help improve their appearance, it will never remove them. Bio Oil is highly effective in helping to improve the appearance of existing stretch marks as it increases the elasticity of the skin and the reduces the possibility of new stretch marks forming.  Those most prone to stretch marks include pregnant women, body builders, adolescents undergoing sudden growth spurts and individuals who experience rapid weight gain.  Using Bio Oil during pregnancy Bio Oil should be massaged in a circular motion into the stretch marks, twice daily, for a minimum of 3 months. During pregnancy, it should be applied from the start of the second trimester to areas that are prone to stretch marks such as the abdomen, breasts, lower back, hips, buttocks and thighs.","How to use  Bio   Oil  on scars Massage a few drops of  Bio   Oil  in a circular motion into the scar and surrounding skin, twice daily, for a minimum of 3 months usage. Bio Oil should be applied twice daily as a moisturiser Bio Oil can help with dehydrated skin and dry skin. If the main cause of dehydrated skin is lack of water intake, then first you need to increase your water intake. Hydration is important because no amount of treatment will help if you do not take on enough water. Bio Oil supplements the skins natural oil layer and helps to restore its barrier function of retaining moisture. Bio Oil is a hypo allergic product.",,https://www.inishpharmacy.com/p/bio-oil/p-300060
Curanail 5% W/V,Medicines->Anti-Fungal->Fungal Skin Rash ,23.95,CURANAIL,"Curanail is an effective and easy to use treatment for fungal nail  conditions in adults. Curanail contains a special nail lacquer with Amorolfine, an anti fungal ingredient.   One application every 7 days  Can be used on fingernails or toenails  Contains bottle and applicator, 30 nail files and 30 cleaning swabs   You Must Be Aged Over 18 Years to Purchase This Product",How To Use Curanail   File down the area of the nail with fungal infection  Clean the nail surface using one of the cleaning swabs  Apply the nail lacquer over the entire nail suface  Allow to dry for approximtaley 3 minutes  Repeat every 7 days  Treatment may take 6 months ofr finger nails or 9 months for toe nails      KEEP ALL MEDICINES OUT OF THE EACH OF CHILDREN.  READ THE PATIENT LEAFLET BEFORE TAKING THIS MEDICATION.,,,https://www.inishpharmacy.com/p/curanail-5-w_v/curanail
Bioderma Node DS+ Anti-Dandruff Intense Shampoo 125ml,Toiletries->Hair Care->Shampoo,13.95,BIODERMANODEDS,Bioderma Node Anti-Dandruff shampoo helps to eliminate dandruff and keeps it from reappearing. The Node anti-dandruff shampoo formula helps to sooth itching while it gently cleanses the base and respects the balance of the hair and scalp. Suitable for all hair types.,,,"AQUA/WATER/EAU, MAGNESIUM LAURETH SULFATE, SODIUM LAUROYL SARCOSINATE, SODIUM COCOAMPHOACETATE, PANTHENOL, POLYSORBATE 20, MANNITOL, XYLITOL, RHAMNOSE, FRUCTOOLIGOSACCHARIDES, CLIMBAZOLE, PIROCTONE OLAMINE, SALICYLIC ACID, COCO-GLUCOSIDE, GLYCERYL OLEATE, POLYACRYLATE CROSSPOLYMER-6, DIMETHICONE, PEG-90 GLYCERYL ISOSTEARATE, POLYQUATERNIUM-7, POLYQUATERNIUM-74, LAURETH-7, LAURETH-2, SODIUM BENZOATE, CITRIC ACID, SODIUM CHLORIDE, DISODIUM EDTA, SODIUM HYDROXIDE, PHENOXYETHANOL, FRAGRANCE (PARFUM), LINALOOL. [BI 686]",https://www.inishpharmacy.com/p/bioderma-node-ds-anti-dandruff-intense-shampoo-125ml/biodermanodeds
KY Jelly Personal Lubricant,Health->Embarassing Conditions->Sexual Health,4.45 - 5.45,P-KY-JELLY,KY Jelly is the world's best selling personal lubricant. It can be used to alleviate vaginal dryness and also ease comfort during sex.   Water based: Not sticky or greasy  Compatible with latex condoms  Compliments personal moisture  Can be used every day,,,,https://www.inishpharmacy.com/p/ky-jelly-personal-lubricant/p-ky-jelly
Bioderma Node Fluid Shampoo 200ml,Toiletries->Hair Care->Shampoo,10.50,4506015,Bioderma Node Shampoo is a non-stripping shampoo that is gentle to the scalp. It has been developed to help restore the hair’s shine & radiance. The Bioderma Shampoo can be used on all hair types and can also be used as a follow up to medicated shampoos.  Winner of Stellar Beauty Best 2016!,,,,https://www.inishpharmacy.com/p/bioderma-node-fluid-shampoo-200ml/4506015
PerioKin Gel 30ml,Toiletries->Dental->Dry/Sore Mouth,5.95,PERIOKINGEL,"Part of the PerioKin range of products for complete gum care, PerioKin Gel is efective at treating localised areas in the mouth. Contains Chlorhexidine to help reduce dental plaque and maintain helathy gums.",,"Apply twice or three times a day after meals and at night, using a soft toothbrush or a cotton bud, massaging the gel into the gums. Do not rinse or ingest food or beverages until half an hour after applying PerioKin Gel.",Chlrohexidine 0.2%,https://www.inishpharmacy.com/p/periokin-gel-30ml/periokingel
Lanacane Anti-Chafing Gel 28g,Skincare->Expert Skincare->Skin Rashes,7.95,LANACANE1508,Lanacane Anti-Chafing Gel is designed to soothe and prevent chafing and pain from skin rubbing. This can help stop soreness from skin on skin rubbing and from skin on clothing rubbing. Can be used prior to activity to prevent further chafing.   Unique barrier against friction  Silky finish dries on contact  Non-greasy  Non-staining  Fragrance free  Can be used every day,,,,https://www.inishpharmacy.com/p/lanacane-anti-chafing-gel-28g/lanacane1508
Capasal Therapeutic Shampoo,Medicines->Anti-Fungal,7.60 - 11.95,P-CAPASAL,"Capasal Therapeutic Shampoo contains coal tar, salicylic acid and coconut oil and is used to effectively treat dry scalp conditions such as dandruff, scalp psoriasis, seborrhoeic eczema and cradle cap. you can also use Capasal if you need to remove a previous scalp application product from the hair and scalp.   Can be used in children and adults  Salicylic Acid: A mild  keratolytic to help loosen and remove dry and scaly skin  Coal Tar: Helps promote Keratin production, a protein that protects skin cells form damage  Coconut Oil: Provides a moisturising and softening effect   You Must Be Aged Over 18 Years to Purchase This Product","Who Can Use Capasal Therapeutic Shampoo?  Adults and children age can use Capasal Therapeutic Shampoo  How Should I Use Capasal Shampoo?    Adults and children:      Massage a small amount of Capasal shampoo in to wet hair and scalp      Leave for a few minutes then wash out      Repeat the application to give a thick lather      Rinse hair thoroughly then dry well    Can I Use Capasal Therapeutic Shampoo When Pregnant or Brestfeeding?  Coal tar preparations have bene used for many years without any ill effects on the baby. However it it is recommended to only use coal tar preparations intermittently, on a small area of skin only and to avoid in the first trimester.  You Must Be Aged Over 18 Years to Purchase This Product   KEEP ALL MEDICINES OUT OF THE EACH OF CHILDREN.  READ THE PATIENT LEAFLET BEFORE TAKING THIS MEDICATION.",,,https://www.inishpharmacy.com/p/capasal-therapeutic-shampoo/p-capasal
Autotest HIV Test,Health->Embarassing Conditions->Sexual Health,34.95,HIV-SELF-TEST,Autotest HIV Test is a self diagnostic test for the screening of HIV (the virus responsible for AIDS). This simple to use test uses a small blood sample taken from the tip of your finger. Full instructions on how to use the HIV detection kit are included in your pack or you can  download here .   Reliable for the detetcion of HIV infections occuring at least 3 months ago  This HIV test takes only 5 minutes  Results available in 15 minutes,"How Soon Can I Test For HIV? The Autotest HIV Test for slef testing at home is deisgned for testing at leats 3 months after HIV exposure. This is the length of time it can take for a sufficient quantity of antibodies to be produced in order to be detected by the HIV self-test.  During the window period a person can be infected with HIV but still have a negative HIV test.  Unfortunately no HIV self-test can reliably check for HIV immediately after infection. If you think you have been exposed to HIV in the previous 72 hours, you should go to your nearest STI/GUM (genitourinary medicine) clinic or hospital emergency department as soon as possible to see if you need to go on HIV post-exposure prophylaxis (PEP). PEP is a course of medication that needs to be started as soon as possible and at least within 72 hours after you have been exposed to HIV.  If you are concerned in any way about your helath, whther you have recieved a positive or negative result, we would recommend you contact your GP or your local sexual health clinic. Information on sexual health can be obtained from the  HSE Sexual Health website.  The Autotest HIV Test complies with all relevant EU regulations for a HIV self test. The test includes the CE mark and the 4 digit number relating to the independent testing carried out in accordance with EU law.",,,https://www.inishpharmacy.com/p/autotest-hiv-test/hiv-self-test
Leeloop Headlice Prevention Hair Bands,Health->Embarassing Conditions,6.95,LEELOOP-BANDS,Leeloop Lice Prevention Hair Bands contain no pesticides or artificial ingredients. The bands are simply worn on the head during the day to protect against lice. The elasticated bands contain essential oils and are powered by Phytolice Complex which helps to prevent lice simply. They have a pleasant smell and begin to work instantly and last for at least 2 weeks.   95% proven efficacy in lice prevention (independently tested)  Pack contains 4 pieces  1 hairband = up to 2 weeks protection  No pesticides or artificial ingredients,,,,https://www.inishpharmacy.com/p/leeloop-headlice-prevention-hair-bands/leeloop-bands
