Title,Category,Price,Product Code/ SKU,Short Description,Long Description,How to Use,Active Ingredients,Product URL
Sasmar Conceive Plus Fertility Lubricant - 3 Pre-Filled Applicators,Health->Family Planning->Fertility Aids & Lubricant,12.95,401310,"Conceive Plus® is a FDA cleared fertility friendly personal lubricant that is formulated to be isotonic and meet a pH range compatible with human sperm survival and migration. Intended to enhance the ease and comfort of intimate sexual activity, supplement the body’s natural lubrication and help couples on the path to getting pregnant naturally.  Key benefits:  FDA cleared safe for couples trying to conceive.  Compatible with sperm, oocytes and embryo development.  pH balanced and Isotonic to mimic fertile fluids  Contains Calcium & Magnesium Ions  A Published study shows sperm safety Conceive Plus® is clinically proven to not harm sperm function like other personal lubricants can and to be safe for use by all couples who want to get pregnant naturally.  Get 25% OFF Clonfolic Folic Tablets with any Clearblue purchase.",,,,https://www.inishpharmacy.com/p/sasmar-conceive-plus-fertility-lubricant---3-pre-filled-applicators/401310
Clearblue Digital Pregnancy Test Kit with Conception Indicator,Health,8.95 - 13.95,P-200052,Clearblue Digital Pregnancy Tests are over 99% accurate and are the only test to tell you how many weeks pregnant.   Easy to use  Can test 5 days early    Get 25% OFF  Clonfolic Folic Tablets  with any Clearblue purchase.,,,,https://www.inishpharmacy.com/p/clearblue-digital-pregnancy-test-kit-with-conception-indicator/p-200052
Conceive Plus Women's Fertility Support 60 Pack,Health->Family Planning->Fertility Support Supplements,21.95,CONCEIVE-PLUS-WOMAN,"Sasmar Conceive Plus Women's Fertility Support contains vitamins, minerals and antioxidants which help to support the female reproductive system. The nutrients in the fertility supplements also aid the body for healthy ovulation and natural conception.  We suggest using  Conceive Plus Fertility Lubricant  with this product while trying to conceive.",,Take two capsules daily with food. Start taking up to 90 days before planned pregnancy and continue taking daily as required or as advised by your healthcare professional.,,https://www.inishpharmacy.com/p/conceive-plus-womens-fertility-support-60-pack/conceive-plus-woman
Clearblue Rapid Detection Pregnancy Test,Health->Family Planning->Pregnancy Tests,7.50 - 9.90,P-CLEARRAPID,"Clearblue Rapid Detection Pregnancy Tests are widely known for their reliability.  They are the number 1 doctor recommended home pregnancy tests.  Results can be read as fast as 1 minute making it quick, easy and reliable.",,,,https://www.inishpharmacy.com/p/clearblue-rapid-detection-pregnancy-test/p-clearrapid
Conceive Plus Men's Fertility Support 60 Pack,Health->Family Planning->Fertility Support Supplements,21.95,CONCEIVE-PLUS-MEN,"Sasmar Conceive Plus Men's Fertility Support contains vitamins, minerals and antioxidants which help to increase the male sex drive and support the reproductive system. The nutrients in the fertility supplements also aid sperm quantity, energy and vitality which are all important while trying to conceive.  We suggest using  Conceive Plus Fertility  Lubricant with this product while trying to conceive.",,Take two capsules each day with food. It is advised to take up to 90 days before trying to conceive and continue taking each day until advised by your doctor.,,https://www.inishpharmacy.com/p/conceive-plus-mens-fertility-support-60-pack/conceive-plus-men
Clearblue Pregnancy Test Kit,Health,7.50 - 9.90,P-200054,Clearblue Pregnancy Tests are from the No.1 doctor recommended brand for pregnancy testing.   Over 99% accurate  Test up to 6 days before your missed period  Easy to use  Result in as fast as 1 minute   Get 25% OFF  Clonfolic Folic Tablets  with any Clearblue purchase.,,,,https://www.inishpharmacy.com/p/clearblue-pregnancy-test-kit/p-200054
Clearblue Ovulation & Pregnancy Tests Bundle,Health->Family Planning->Pregnancy Planning Bundles,35.95,CLEARBLUE-BUNDLE,This Clearblue bundle containing ovulation test and a pregnancy test is perfect for couples hoping to conceive.  The pack contains     Clearblue Pregnancy Test Kit (contains 2 tests)    Clearblue Digital Ovulation Test,,,,https://www.inishpharmacy.com/p/clearblue-ovulation-and-pregnancy-tests-bundle/clearblue-bundle
Clearblue Digital Ovulation Test ,Health->Family Planning->Ovulation Tests,29.95,P-401513,Clearblue Digital Ovualtion Tests are quick and simple to use.   Results in only 3 minutes  Clear results indicated by a smiley face  99% accurate    Get 25% OFF  Clonfolic Folic Tablets  with any Clearblue purchase.,"The Clearblue Digital Ovulation Test helps you to identify the 2 fertile days in your cycle. This is done by indicating a sudden surge in Luteinizing Hormone (LH) in your body with a simple urine test. LH is the hormone that triggers the release of an egg from your ovary, which is also known as ovulation and generally occurs 24 to 36 hours after the LH increase.  If you use it each day on the days around the time in your cycle when you expect the LH surge, you can predict the 2 days each cycle when you are most fertile and therefore most likely to get pregnant.  Clearblue Digital Ovulation Tests have been shown in extensive laboratory trials to be over 99% accurate in detecting the LH surge before ovulation.  Fertility is at its highest the day the LH surge is detected and the day after. You are most likely to get pregnant if you have sex on these days. Clearblue Digital Ovulation Tests detect this LH surge, and therefore maximize your chances of conceiving.   The results are fast, clear and easy to understand, with a smiley face indicating a LH surge.  Your results are available after 3 minutes.",,,https://www.inishpharmacy.com/p/clearblue-digital-ovulation-test-/p-401513
Raiing iFertracker Smart Fertility Tracker,Health->Family Planning->Ovulation Tests,,SFTRACK,"The Raiing iFertracker Smart Fertility Tracker has been designed to help couple's conceive by predicting ovulation. The wearable tracker is worn under the arm where the sensor collects 20,000 temperature data points as you sleep. The smart analysis system records the data records, charts and trends automatically to learn your cycles. The APP also monitors your sleep quality and movement to which it helps forecast ovulation to help you improve your chance of conceiving. To help maximise chances of conception, it is best to have sexual intercourse when you are ovulating. The easy-to-use app makes monitoring your cycle easier than ever.   Acurately predicts ovulation  Flash memory 240hr data storage  Continuously monitors to capture  temperature  variations  Accurate to within 0.05c","The Raiing iFertracker Smart Fertility tracker helps to determine your ovulation through data gathering from your body’s trends. Included is the Smart Fertility Tracker, Battery, Battery tool, sticker and manual. This tracker has been designed to use with the iFertracker App for iPhones and Android, to easily monitor when you will ovulate.  The app is designed for iPhone’s from iphone4s and newer and ipad3 and newer. It can also be used on Android terminals with the versions higher than 4.3 and Bluetooth 4.0.",,,https://www.inishpharmacy.com/p/raiing-ifertracker-smart-fertility-tracker/sftrack
Swimcount Sperm Quality Test Home Male Fertility Test,Health->Family Planning->Fertility Aids & Lubricant,,spermcount,"Swimcount, Sperm Quality Test - at Home Male Fertility Test measures the quality of sperm while separating the motile and non-motile sperm cells. It is the world’s first and only home test which measures Sperms Motility which is the number one parameter when testing sperm. Motile is the concentration of sperm which can swim. This test is easy to use and provides a quick and reliable results (96% accuracy when comparing the results to microscopy).","Poor sperm quality is a key factor behind the problems many couples experience when trying to conceive. Since it can be inconvenient and embarrassing to visit a hospital or fertility clinic to get tested, many men choose to buy at-home sperm tests. However, the existing home tests do not accurately assess male fertility since they only measure sperm count and not sperm quality.SwimCount is the first home test, which allows men to get a reliable answer about their chances of making a woman pregnant. SwimCount works by measuring the ability of sperm cells to swim, which is a key factor in achieving pregnancy.  Why choose SwimCount?  Thanks to patented technology, SwimCount is a reliable easy-to-use home test kit for men that measures sperm quality - and all in the privacy of your own home! SwimCount measures the concentration of sperm in your ejaculate that can swim (known as motile sperm).","Simply add the sperm sample to the device and within 30 minutes the color indicates whether the motile sperm quantity is above or below the WHO threshold for normal. SwimCount provides 96% accuracy when comparing the results to microscopy. If the test shows your motile sperm concentration is below the cut-off level for normal sperm quality, you should consult your doctor for further fertility testing.",,https://www.inishpharmacy.com/p/swimcount-sperm-quality-test-home-male-fertility-test/spermcount
