Title,Category,Price,Product Code/ SKU,Short Description,Long Description,How to Use,Active Ingredients,Product URL
Canesten Clotrimazole 200mg Pessary x3,Medicines->Anti-Fungal->Thrush,5.95,900422,Canesten Clotrimazole 200mg Pessary is used for the treatment of thrush. The pessary is use internally to fight the infection at the site.    You Must Be Aged Over 18 Years to Purchase This Product,"Canesten Clotrimazole 200mg Pessary is a treatment for thrush treating internally at the site of the infection. Clotrimazole is an antifungal medication included which treats against infections such as thrush.    Who can use?  Canesten Clotrimazole 200mg Pessary can be used by adults and children 12 years and over.   The applicator should be used to insert the pessary as high as possible into the vagina, preferably before going to sleep at night, for 3 consecutive nights, for convenient and comfortable treatment.  Wash your hands before removing the foil from the blister pack and again afterwards when you have used the applicator.  1. Remove the applicator from the packaging. Pull out the plunger A until it stops. Remove the pessary from the foil blister pack and place firmly into the applicator B.      2. To fit the pessary into the applicator, the holder of the applicator needs to be squeezed lightly at both sides. The pessary fits tightly into the applicator and needs to be squeezed into the holder to about 1cm.    3. Carefully put the applicator as deep as is comfortable into the vagina (this is easiest when lying on your back with your knees bent up). Holding the applicator in place, slowly press the plunger until it stops so that the pessary is deposited into the vagina.   If you are pregnant or breast-feeding  If you are pregnant or breast-feeding speak to your doctor before purchasing or using this product.  KEEP ALL MEDICINES OUT OF THE EACH OF CHILDREN.  READ THE PATIENT LEAFLET BEFORE TAKING THIS MEDICATION.","The Pessary The applicator should be used to insert the pessary as high as possible into the vagina, preferably before going to sleep at night, for 3 consecutive nights, for convenient and comfortable treatment.  Wash your hands before removing the foil from the blister pack and again afterwards when you have used the applicator. 1. Remove the applicator from the packaging. Pull out the plunger A until it stops. Remove the pessary from the foil blister pack and place firmly into the applicator B.    2. To fit the pessary into the applicator, the holder of the applicator needs to be squeezed lightly at both sides. The pessary fits tightly into the applicator and needs to be squeezed into the holder to about 1cm.  3. Carefully put the applicator as deep as is comfortable into the vagina (this is easiest when lying on your back with your knees bent up). Holding the applicator in place, slowly press the plunger until it stops so that the pessary is deposited into the vagina.","The pessary contains Clotimazole 200 mg. It also contains calcium lactate pentahydrate, maize starch, crospovidone, colloidal anhydrous silica, lactic acid, lactose monohydrate, magnesium stearate, hypromellose and microcrystalline cellulose.",https://www.inishpharmacy.com/p/canesten-clotrimazole-200mg-pessary-x3/900422
Beauty Formulas Feminine Intimate Cleansing Wash Deodorising PH 5.5 250ml,Toiletries->Toiletries For Her->Feminine Hygiene,1.95,88308,Beauty Formulas Intimate Cleansing Wash gently cleanses without irritation giving you a long lasting freshness. The intimate mild and gentle soap wash prevents embarrassing feminine odour that can be used daily.,,,,https://www.inishpharmacy.com/p/beauty-formulas-feminine-intimate-cleansing-wash-deodorising-ph-55-250ml/88308
Beauty Formulas Feminine Intimate Gentle Cleansing Wash 250ml,Toiletries->Toiletries For Her->Feminine Hygiene,1.95,88073,Beauty Formulas Intimate Cleansing Wash gently cleanses without irritation giving you a long lasting freshness. The intimate mild and gentle soap wash prevents embarrassing feminine odour that can be used daily.,,,,https://www.inishpharmacy.com/p/beauty-formulas-feminine-intimate-gentle-cleansing-wash-250ml/88073
Beauty Formulas Feminine Intimate Cleansing Wash Aloe Vera Soothing PH 5.5 250ml,Toiletries->Toiletries For Her->Feminine Hygiene,1.95,88300,Beauty Formulas Intimate Cleansing Wash gently cleanses without irritation giving you a long lasting freshness. The Aloe Vera soap wash prevents embarrassing feminine odour that can be used daily.,,,,https://www.inishpharmacy.com/p/beauty-formulas-feminine-intimate-cleansing-wash-aloe-vera-soothing-ph-55-250ml/88300
Beauty Formulas Feminine Intimate Deodorant 150ml,Toiletries->Toiletries For Her->Feminine Hygiene,1.95,88132,"Beauty Formulas Feminine Deodorant provides reassurance and confidence with intimate hygiene. This intimate fragrance will leave you feeling fresh, and clean especially in warm weather and times of stress.",,,,https://www.inishpharmacy.com/p/beauty-formulas-feminine-intimate-deodorant-150ml/88132
Balance Activ BV Vaginal Pessaries 7 x Single Use Pessaries,Toiletries->Toiletries For Her->Feminine Hygiene,14.95,401593,"Balance Activ BV Pessaries work in the same way as Balance Activ BV Gel but are simply inserted into the vagina like a tampon. These pessaries are small, discreet, mess-free and ideal for use at bedtime.","Balance Activ BV Vaginal Pessaries come in hygienic single-use foil strips.              Step one  To use Balance Activ BV Vaginal Pessaries, wash hands a remove a single pessary from the foil wrapping.    Step two  Remove a single pessary from the foil wrapping.      Step three  Sit or lie down with knees bent and legs apart. Gently insert the pessary into the vagina as far as is comfortably possible using your fingers.    Step four  Wash hands again. Remember, the pessary should not be divided as it is intended for single use.      How often?  Depending on whether you are using the product to relieve symptoms, or prevent symptoms from occurring or recurring, it should be used in different amounts and for differing lengths of time.  Maintenance and Prevention   To maintain the natural pH balance and prevent recurrence of symptoms, use one pessary daily for four to five days.  To help maintain the pH level during a course of antibiotics, use one pessary every three days for three months.  If you notice a recurrence of symptoms around the time of your period, you should use one pessary at the end of you period for one to two days.",,,https://www.inishpharmacy.com/p/balance-activ-bv-vaginal-pessaries-7-x-single-use-pessaries/401593
Balance Activ BV Gel 7 x 5ml,Toiletries->Toiletries For Her->Feminine Hygiene,11.95,401574,"Balance Activ BV Gel is a quick, safe and effective way to restore and maintain the pH level in the vagina, helping to relieve and prevent the symptoms of BV. The easy to use gel comes in a disposable applicator tube, which is simply inserted into the vagina, squeezed, then removed and discarded.","Step one  Balance Activ Vaginal Gel comes in hygienic single-use tubes. To use Balance Activ, simply twist off the cap of the tube.    Step two  Insert the neck of the tube into the vagina, and squeeze out the contents. It is most effective if it is used at bedtime as the risk of leakage is reduced. The tube can then be removed and disposed of.      How often?  Depending on whether you are using the product to relieve symptoms, or prevent symptoms from occurring or recurring, it should be used in different amounts and for differing lengths of time.  For Rapid Relief   Maintenance and Prevention",,,https://www.inishpharmacy.com/p/balance-activ-bv-gel-7-x-5ml/401574
Arkopharma Cys-Control 36mg 6 Sachets,Health->Embarassing Conditions->Bladder Weakness,6.25,10045572,The Arkopharma Cys-Control helps to treat cystitis urinary infections and also helps to prevent recurrences.,,,,https://www.inishpharmacy.com/p/arkopharma-cys-control-36mg-6-sachets/10045572
Arkopharma Cys-Control Cranberry Grape & Heather 30 Capsules,Medicines->Other Conditions->Cystitis / UTI,5.50,95243036,"Arkopharma Cys-Control contains cranberry, grape and heather, these work together to help with the symptoms of cystitis and UTI's (Urinary Tract Infection's). These natural ingredients can help  maintain a healthy urinary tract.",,,,https://www.inishpharmacy.com/p/arkopharma-cys-control-cranberry-grape-and-heather-30-capsules/95243036
Always Maxi Long Plus 10 Pack,Health->Feminine Hygeine->Towels & Liners,1.95,91555671,"Always pantyliners are discreet, with soft, breathable materials for all day comfort and freshness.    Contains 10 pads  With wings",,,,https://www.inishpharmacy.com/p/always-maxi-long-plus-10-pack/91555671
