Title,Category,Price,Product Code/ SKU,Short Description,Long Description,How to Use,Active Ingredients,Product URL
Savlon Antiseptic Cream,Health->Travel->First Aid,2.25 - 4.95,p-902667,"Savlon Antiseptic Cream is an essential for every home and first aid kit. This cream not only cleans but also prevents infection in cuts, bits, sting and minor burns. It can also be used on blister, sores, nappy rash spots and even sunburn. It is ideal for your handbag or nappy bag.",,,,https://www.inishpharmacy.com/p/savlon-antiseptic-cream/p-902667
Avanti Medical Classic Zinc Oxide Tape,Health->First Aid->Bandages ,0.85 - 1.50,P-avblue,"Avanti Medical Classic Zinc Oxide Tape leaves no residues. It is made a textile fabric with a zinc oxide basis. It can be applied directly to the skin or used to secure bandages, compresses and catheters. It is available in a variety of widths.",,,,https://www.inishpharmacy.com/p/avanti-medical-classic-zinc-oxide-tape/p-avblue
Bepantiseptic First Aid Cream,Health->First Aid->Antiseptics & Wound Cleaning ,3.95 - 5.95,P-BEPANT,"Bepantiseptic First Aid Cream has been developed to help prevent infections from occurring. This antiseptic formula also includes an anaesthetic that helps numb pain. This first aid cream is ideal to use on minor cuts, grazes, minor burns, stings and insect bites.",,,,https://www.inishpharmacy.com/p/bepantiseptic-first-aid-cream/p-bepant
Burnshield Hydrogel ,Health->First Aid,6.95 - 8.95,P-BH30433,"Burnshield Hydrogel helps absorb and reduce heat, minimising burn damage. The cooling effect from the hydrogel offers pain relief and shock reduction.",,,,https://www.inishpharmacy.com/p/burnshield-hydrogel-/p-bh30433
Avanti Medical Sensitive Non-Woven Fabric Tape 1.25cm x 500cm Roll,Health->First Aid->Bandages ,0.55,AVSENSYELLOW-7872,The Avanti Medical Sensitive Non-Woven Fabric Tape provides strong adhesion and can be applied to normal and sensitive skin. The non-woven fabric means this tape can be torn by hand when applying.,,,,https://www.inishpharmacy.com/p/avanti-medical-sensitive-non-woven-fabric-tape-125cm-x-500cm-roll/avsensyellow-7872
Avanti Medical Latex Free Examination Gloves,Health->First Aid->Accessories,5.95,P-AVANTIGLOVE,These Avanti Medical latex examination gloves are powder free and ideal for use in any professional setting.    Caution: This product contains latex,,,,https://www.inishpharmacy.com/p/avanti-medical-latex-free-examination-gloves/p-avantiglove
Avanti Medical Urine Sample Container 60 ml,Health->First Aid->Accessories,1.00,AVSPECIMENRED,The Avanti Medical Urine Sample Container holds up to 60ml of fluid.,,,,https://www.inishpharmacy.com/p/avanti-medical-urine-sample-container-60-ml/avspecimenred
Avanti Medical Alcohol Prep Pad 3x3cm 100 Pack,Health->First Aid->Antiseptics & Wound Cleaning ,2.00,LC1201404,This alcohol prep pad by Avanti medical is a must have for any first aid box.  They come in an individually sealed and wrapped. Primarily used to prepare the skin prior to an injection.,,,,https://www.inishpharmacy.com/p/avanti-medical-alcohol-prep-pad-3x3cm-100-pack/lc1201404
Apex Four-Sided Splint (Medium),Health->Travel->First Aid,5.99,77002,This splint has 4 sides to help injuries heal & prevents re-injury withan open design that allows air circulation. The foam padding adds comfort.,,,,https://www.inishpharmacy.com/p/apex-four-sided-splint-medium/77002
McDavid Elastic Elbow Sleeve with Gel Buttresses Level 2 Advanced 5130 ,Health->First Aid->Supports,17.95,P-MCD5130,"This elbow sleeve with gel buttress gives comfortable, breathable relief from a range of conditions affecting the elbow area, including arthritis, bursitis, tendonitis, golfer’s elbow and tennis elbow   Bi-lateral gel buttresses provide soothing targeted compression  4-way stretch elastic material for increased compression and fit without heat retention  Suitable if allergic to neoprene  Fits left or right",,,,https://www.inishpharmacy.com/p/mcdavid-elastic-elbow-sleeve-with-gel-buttresses-level-2-advanced-5130-/p-mcd5130
Deep Freeze Pain Spray 150ml,Health->First Aid->Cold/Heat Therapy ,3.95,200046,Deep Freeze Pain Relief Cold Spray works to freeze pain instantly.  It comes in a handy spray can applicator that is sprayed directly onto the affected area providing immediate and soothing cooling relief from joint and muscle pain as well as minor sports injuries such as sprains or strains.,,,,https://www.inishpharmacy.com/p/deep-freeze-pain-spray-150ml/200046
Apex Four-Sided Finger Splint (Large),Health->Travel->First Aid,5.99,77003,This splint has 4 sides to help injuries heal & prevents re-injury with an open design that allows air circulation. The foam padding adds comfort.,,,,https://www.inishpharmacy.com/p/apex-four-sided-finger-splint-large/77003
Deep Freeze Pain Relief Cold Gel 100g,Health->First Aid->Cold/Heat Therapy ,6.95,DF3548,"Deep freeze pain relief cold gel is a fast acting formulation specially designed for muscular sprains and strains.  It provides cooling pain relief for muscle, joint and may even help pain associated with arthritis.  This cream can be used alongside medications taken by mouth.",,,,https://www.inishpharmacy.com/p/deep-freeze-pain-relief-cold-gel-100g/df3548
Deep Freeze Pain Relief Glide-On Gel 50g,Health->First Aid->Cold/Heat Therapy ,4.95,F3002-2,"Deep freeze Pain relief glide on gel is designed for easy use, simply roll on the affected area for drug-free pain relief.  It is designed to treat sprains, muscular aches and joint pain. Its fast acting pain relief formula provides cooling action for up to an hour",,,,https://www.inishpharmacy.com/p/deep-freeze-pain-relief-glide-on-gel-50g/f3002-2
Convatec Niltac Sting Free Medical Adhesive Remover 50ml,Health->First Aid,13.95,NILTAC50ML,Niltac sting free adhesive remover is used to easily and quickly remove dressings or appliances with adhesive.  It minimises the trauma to the patient allowing little to no touch as well as minimising pain which may be caused by skin stripping.,,,,https://www.inishpharmacy.com/p/convatec-niltac-sting-free-medical-adhesive-remover-50ml/niltac50ml
Deep Freeze Cold Patch 4 Single Patches,Health->First Aid->Cold/Heat Therapy ,6.95,800298,Deep Freeze Pain Relief cold patch is a drug-free way of soothing joint and muscular pain such as sprains and strains and muscular back pain in pregnancy.  Each patch provides up to 12 hours of pain relief.,,,,https://www.inishpharmacy.com/p/deep-freeze-cold-patch-4-single-patches/800298
Clinell Hand Sanitising Gel,Health->First Aid->Antiseptics & Wound Cleaning ,2.80 - 7.95,P-CLINELL-GEL,The Clinell Hand Sanitising Gel kills up to 99.9% of germs as it contains 70% of alcohol. This gel will help disinfect hands without the need for soap and water. It also includes aloe Vera which moisturises the hands leaving them feeling refreshed without the stickiness effect. Available in 3 sizes.,,,,https://www.inishpharmacy.com/p/clinell-hand-sanitising-gel/p-clinell-gel
Calypso Antiseptic Spray 100ml,Health->Travel->First Aid,2.50,411005,"Calypso Antiseptic Spray is an ideal product for your first aid box, ideal for everything from insect bites to minor burns, cuts and scrapes.  Its small in size which means super handy for travelling.",,,,https://www.inishpharmacy.com/p/calypso-antiseptic-spray-100ml/411005
