Title,Category,Price,Product Code/ SKU,Short Description,Long Description,How to Use,Active Ingredients,Product URL
Hy-Opti Sodium Hyaluronate 0.2% Eye Drops 10ml,Health->Other Healthcare,8.50,hyopti,"Hy-Opti Sodium Hyaluronate Eye Drops are used to lubricate, hydrate and protected the eye. It relieves the discomfort of dry eyes.",,"Ass 1 drop in the eye 2-3 times daily, according to necessity.",,https://www.inishpharmacy.com/p/hy-opti-sodium-hyaluronate-02-eye-drops-10ml/hyopti
Desenex Athletes Foot Powder Zinc Undecylenate 20% w/w Undecylenic Acid 2% w/w,Health->Embarassing Conditions->Athlete's Foot,4.95 - 13.95,p-desenex-powder,"Desenex Powder is r ecommended for the treatment and prevention of fungal infections of the feet, armpits, groin and the relief of itching and scaling produced by these fungal infections.","Desenex Powder c ontains two high strength ingredients,it's anti-fungal formulation is ideal for preventing and treating fungal skin infections. Contains Zinc Undecylenate 20% w/w Undecylenic Acid 2% w/w.  Do not use Desenex powder if you are allergic to any of the ingredients. Suitable for use over 2 years of age. Not suitable for treating nail or scalp infections.","Feet: Twice daily, sprinkle powder liberally between toes, on feet, and in the shoes and socks. To prevent re-infection, use daily. Armpits and groin: After washing and drying, apply Desenex Powder liberally over the infected areas.",Zinc Undecylenate 20% w/w Undecylenic Acid 2% w/w,https://www.inishpharmacy.com/p/desenex-athletes-foot-powder-zinc-undecylenate-20-w_w-undecylenic-acid-2-w_w/p-desenex-powder
Optase Moist Heat Mask,Health->Other Healthcare,14.50,OPTASE-EYE-MASK,"The Optase Moist Heat Mask is designed to bring relief of dry eye, blepharitis, MGD, Chalazion and styes. Applying the mask daily for 2 weeks can provide significnt symptom relief.   Loosens the oils in the Meibomian Glands allowing the oil to flow more freely  Helps soften eyelash debris  Improves tear film lipid quality  Prevents the evaporation of natural tear film  Restores moisture to the eye and surrounding area","Optase Eye Mask Product Features:   HydroBead TM  Technology absorbs moisture from the air and when heated, releases a natural, constant moist heat to the eyes and eyelids.  Simple to use: 25 seconds in the microwave will provide 10 minutes of the prescribed Moist Heat Therapy  Protective pouch  Adjustable strap for personal comfort  Soft and comfortable material",1: Heat the mask in a microwave for 25 seconds (850W) 2: Check the mask is not too hot by using your fingers to touch. 3: Apply heat mask to closed eyes fpr 10 minutes,,https://www.inishpharmacy.com/p/optase-moist-heat-mask/optase-eye-mask
Scholl Athletes Foot Complete Pen & Spray Kit,Medicines->Anti-Fungal->Athletes Foot ,14.95,ATHLETES-FOOT-KIT,This complete kit from Scholl is an effective athlete's foot treatment that also helps reapperance of athlete's foot symptoms. Contains treatment pen and shoe spray.   Unique two step solution - treats and protects  Helps stop the itching from athlete's foot  Prevents reinfection from the shoe  Suitable from 4 years of age,"What Is Athlete's Foot?  Athlete's foot is a common fungal skin infection, usually affecting skin between the toes or sole of the foot. Athlete's foot usually is very itchy with burning sensations. In some cases there may be skin peeling.  How to Use Scholl Athlete's Foot Treatment Pen   Wash and dry your feet  Hold the pen upside down and turn the base to dispense the cream (on first use keep twisting the base cliockwise until cream is dispensed)  Apply the cream on the infected areas and let dry for 1-2 minutes  Apply twice daily for 4 weeks   How To Use Athlete's Foot Prevention Shoe Spray    Apply 3 sprays into all shoes at the start of treatment  Spray each shoe with 3 sprays once weekly  The shoe spray will treat 2 pairs of shoes for 4 weeks",How to Use Scholl Athlete's Foot Treatment Pen,,https://www.inishpharmacy.com/p/scholl-athletes-foot-complete-pen-and-spray-kit/athletes-foot-kit
Desenex Athletes Foot Ointment 30g Zinc Undecylenate 20% w/w Undecylenic Acid 5% w/w,Health->Embarassing Conditions->Athlete's Foot,4.50 - 19.50,p-desenex,"Deseenex Ointment soothes ithcing and burning feet. Deseenex can be used to treat athlete's foot fungi, with a high strength formula.","Desenex ointment is a high strength anti-fungal ointment, for treating foot fungi such as athlete's foot, or jock itch and other fungal skin infections. The ointment can also be used in the armpit or under the breast areas, if a fungal rash appears in those areas.  Contains both Zinc Undecylenate 20% w/w and Undecylenic Acid 5% w/w.","Feet: Twice daily, wash and dryt he infected area, apply a half inch of ointment and rub gently between toes and on feet. Spread evenly. Continue for two weks after symptoms disappear. Armpits and Groin areas: Apply a smooth even coating of ointment to the affected areas as required.",Zinc Undecylenate 20% w/w and Undecylenic Acid 5% w/w,https://www.inishpharmacy.com/p/desenex-athletes-foot-ointment-30g-zinc-undecylenate-20-w_w-undecylenic-acid-5-w_w/p-desenex
Carex Explorer Walker,Health->Other Healthcare,,B651-00,"This Carex Explorer folding walker with wheels is lightweight and comes with 5"" wheels perfect for travel or storage.  It comes with a practical and handy storage bag, the wheels are designed to help you move smoothly without the need to lift the walker. It is fully height adjustable for your comfort and safety.  Weighing only 9 pounds it is lightweight and portable.",,,,https://www.inishpharmacy.com/p/carex-explorer-walker/b651-00
Medicare Flight Socks,Health->Other Healthcare->Footcare,16.95,P-MEDIFLIGHT,Medicare Flight Socks have been designed to help prevent deep Vein Thrombosis occurring during a flights or other journeys. These socks help prevent swollen ankles and tired aching legs. They work by providing a graduated compression. Available in 3 different sizes and two colours. Sizes shown are shoe size.   Ideal for all types of journeys  Helps prevent DVT Deep Vein Thrombosis  Helps prevent swollen ankles  Comfortable graduated compression,"How To Put On Flight Socks   Firstly, fold the socks inside out down tot the toe  Gently ease the sock over the toes, then slowly pull to the heel  Smooth over back heel and roll up over your calf.",How To Put On Flight Socks,,https://www.inishpharmacy.com/p/medicare-flight-socks/p-mediflight
Frolov Breathing Training Device,Health->Other Healthcare->Breath Training,34.95,400285,The Frolov Respiration Training Device  is a simple yet powerful modern device for breathing exercise. Based on the 'Right Way Of Life' this device can help treat a range of respiraotory conditions.,"During use (excercise) with the Frolov Breathing Device the composition of the gas that the patient inhales becomes more carbonic and contains less oxygen. It makes breathing similar to that at a higher altitude.  When exhaling and inhaling against resistance, you strengthen your respiratory system just like you strengthen your muscles working out in the gym.  Exercising with the Frolov device serves learning the unifying respiratory technique, which can help manage conditions like Brochial asthma, Chronic Bronchitis, Esseential Hypertension and Angina Pectoris.  The technique is very easy and can be practiced at home. It takes little time and effort, but the results are amazing.   The technique is quick and easy to learn.  First results are seen within 25-35 days (the duration of the basic course)  Daily exercises take just 20-30mins  The technique has a state certificate of conformity, is approved by medical experts and does not have any contraindications.  It is a drug-free treatment   This technique was invented by Vladimir Fedorovich Frolov (1938-2009). It is based on the findings of well-known Russian experts (the Buteyko method and the Strelnikova breathing exercises).  Frolov Breathing Devices are manufactured by  Dinamika Company Ltd,  Novosibirsk, Russian Federation",,,https://www.inishpharmacy.com/p/frolov-breathing-training-device/400285
Colostrononi 24 x 1.8g Sachets,Medicines->Stomach / Gastrointestinal ->Cramping / Irritable Bowel,24.95,colostrononi,"Colostrononi sachets contain a high dose of skimmed, freeze-dried and pasteurized 100% pure bovine colostrom. Colostrom contains a huge amount of beneficial ingredients which can bring a range of health benefiits. Colostrum contains a high amount of antibodies, proteins, vitamins, mineral salts, amino acids and growth factors. This can bring benefits to skin, immune system and intestine.  Colostrononi also contanins Morinda Citrifolia (Noni).","Colostrononi contains Bovine Colostrum  Colostrum is a pre-milk substance produced after giving birth. It has a high content of antibodies and is often call the 'first vaccination of a baby.' Colostrum contains a high amount of antibidoes, proteins, vitamins, mineral salts, amino acids and growth factors. Bovine colostrum can be up to four times richer in immune factors and growth factors than human colostrum.  What does bovine colostrum contain?  Immunoglobulins and other immunomodulatiing agents: Colostrononi contains antibodies",,,https://www.inishpharmacy.com/p/colostrononi-24-x-18g-sachets/colostrononi
Salin Plus Salt Therapy Filter - Triple Pack,"Health->Cold, Flu & Allergy->Salt Therapy & Air Purifiers",114.95,200088c,"Salin Plus filters fit the the Salin Plus salt therapy unit. The filter contains micro-crystalline deposits of salts which give the user the proven health benefits of salt therapy for respiratory conditions, allergies and sinus problems. Filters should be changed every 4-5 months (based on nightly use.)",,"Based on being used every night, each Salin Plus Salt Therapy Filter should last approximately 4-5 months. To change the filter, turn off the power supply to your Salin Plus machine. Open the cover and remove the old filter. Place the new Salin Plus filter into the unit using the fitting slots and replace the cover.",,https://www.inishpharmacy.com/p/salin-plus-salt-therapy-filter---triple-pack/200088c
