Title,Category,Price,Product Code/ SKU,Short Description,Long Description,How to Use,Active Ingredients,Product URL
FLEXISEQ Active Gel 50g,Health->Pain Relief->FLEXISEQ Pain Relieving Gel->FLEXISEQ Active,11.95,FLEXACTIVE50,"New FLEXISEQ Active is an adapted formulation specially developed for the daily needs of joint pain and early-stage arthritis sufferers.  FLEXISEQ Active lubricates joints and is clinically proven to relieve pain and reduce joint stiffness. A lighter formulation than the award-winning original, FLEXISEQ Active is the perfect introduction to the benefits of drug-free Joint Lubrication Therapy.   Relieves pain  Improves mobility  Helps lubricate and protect your joints  Convenient twice daily application  Drug-Free",,Apply to the affected joint twice daily and allow to dry.,,https://www.inishpharmacy.com/p/flexiseq-active-gel-50g/flexactive50
Aloclair Plus Mouth Ulcer Spray Fast Pain Relief and Healing 15ml,Health,6.95,400258,,,,,https://www.inishpharmacy.com/p/aloclair-plus-mouth-ulcer-spray-fast-pain-relief-and-healing-15ml/400258
A. Vogel Atrogel Arnica Gel 100ml,Health,11.50,400232,A. Vogel Atrogel Arnica gel:    Pain relief for stiff neck and shoulders  Pain relief for other muscle aches and pains  For sporting injuries such as joint sprains & strains  Made from extracts of freshly harvested arnica  Can be used with other medicines,"A. Vogel Atrogel is a herbal remedy made from extracts of fresh Arnica flowers and is an easy-to-apply non-greasy gel. It is ideal if you are looking for a treatment to relieve pain in conditions such as muscle aches or pains, stiffness or after sporting injuries. It can be used up to 4 times a day.  The arnica in Atrogel is obtained from freshly harvested, organically cultivated Arnica montana.  1g of gel contains 500mg of arnica extract, equivalent (on average) to 160mg fresh arnica flowers. The product is free from genetically modified ingredients.","Atrogel Arnica gel may be used to relieve pain and bruising in adults, children and the elderly. Apply 2 to 10 cm of the gel gently to the affected area. Use between 2 and 4 times daily for pain relief. Atrogel Arnica gel may be used by those who are pregnant.  Don’t use Atrogel if you have broken or irritated skin, if you are allergic to arnica preparations or other members of the daisy (Asteraceae / Compositae) family, or any of the other ingredients. Use within 5 months of opening. Like all arnica products used externally, Atrogel Arnica gel can cause side effects, although not everybody gets them. Minor side effects can occur when using Atrogel Arnica gel. These are likely to affect less than 1 in every 10 people and may take the form of skin reactions (itching, skin rash, dry skin, contact dermatitis). Discontinue the use of arnica gel if you find these side effects are troubling you. If they persist, become serious or are worrying to you, or if you notice any side effects not listed in this leaflet, talk to a pharmacist or doctor. If Atrogel Arnica gel is swallowed by mistake contact your doctor, pharmacist or healthcare practitioner immediately.","The arnica in Atrogel is obtained from freshly harvested, organically cultivated Arnica montana.  1g of gel contains 500mg of arnica extract, equivalent (on average) to 160mg fresh arnica flowers. Other ingredients are ethanol, purified water, glycerol (derived from plants) and hypromellose (a thickening agent). The product is free from genetically modified ingredients.",https://www.inishpharmacy.com/p/a-vogel-atrogel-arnica-gel-100ml/400232
ActiPatch Electromagnetic Pulse Therapy Back Pain,Health->Pain Relief->Muscular and Joint Pain Relief,27.95,ACTIPATCH-BACK,"ActiPatch Electromagnetic Pulse Therapy Back Pain helps to ease long term chronic pain. It is designed to work on lower back pain, backaches, arthritis, sciatica, fibromyalgia, strains, sprains and general back pain. ActiPatch is drug and ingredient-free and is safe for continuous use with no adverse effects.  Safe for diabetics, arthritics, bedridden and the elderly and can be used with any medication. It is long lasting with 720 hours of actions and has a convenient on/off switch.",,,,https://www.inishpharmacy.com/p/actipatch-electromagnetic-pulse-therapy-back-pain/actipatch-back
Aloclair Plus Mouthwash for Mouth Ulcers ,Toiletries->Dental->Mouthwash,7.45 - 9.95,P-400239,Aloclair Plus Mouthwash for Mouth Ulcers is perfect for use by those who are regular suffers of mouth ulcers. It gives fast pain relief and coats the ulcers in the mouth and throat. It is suitable for use by brace or denture wearers.,,,,https://www.inishpharmacy.com/p/aloclair-plus-mouthwash-for-mouth-ulcers-/p-400239
ActiPatch Electromagnetic Pulse Therapy Muscle & Joint Pain,Health->Pain Relief->Muscular and Joint Pain Relief,27.95,ACTIPATCH-MUSCLEJOINT,"ActiPatch Electromagnetic Pulse Therapy Therapy Muscle & Joint Pain helps to ease long term chronic pain using Electromagnetic Pulse Therapy. It is designed to work on muscle soreness, strains & sprains, neck & shoulder pain, hip pain, carpal tunnel, sprained ankle, fibromyalgia, arthritis and postoperative recovery. Safe for diabetics, arthritics, bedridden and the elderly and can be used with any medication. It is long lasting with 720 hours of actions and has a convenient on/off switch. Unlike TENS machines it does not have any sensation.",,,,https://www.inishpharmacy.com/p/actipatch-electromagnetic-pulse-therapy-muscle-and-joint-pain/actipatch-musclejoint
ActiPatch Electromagnetic Pulse Therapy Knee Pain,Health->Pain Relief->Muscular and Joint Pain Relief,27.95,ACTIPATCH-KNEE,"ActiPatch Electromagnetic Pulse Therapy Knee Pain helps to ease long term chronic pain using Electromagnetic Pulse Therapy. It is designed to work on arthritis, tendinitis, fibromyalgia, runner’s or jumper’s knee, strains, sprains and general knee pain. Safe for diabetics, arthritics, bedridden and the elderly and can be used with any medication. It is long lasting with 720 hours of actions and has a convenient on/off switch. Unlike TENS machines it does not have any sensation.",,,,https://www.inishpharmacy.com/p/actipatch-electromagnetic-pulse-therapy-knee-pain/actipatch-knee
Naqi Massage Lotion Sport 5 Litre,Naqi Massage Lotion Sport 5 Litre,49.95,NAQISPORTLITRE,Naqi Massage Lotion Sport has been specifically designed for longer sports massages. This hydrating lotion is an oil rich formulas that helps to strengthen and soften the skin.,,,,https://www.inishpharmacy.com/p/naqi-massage-lotion-sport-5-litre/naqisportlitre
McDavid Elastic Elbow Sleeve with Gel Buttresses Level 2 Advanced 5130 ,Health->First Aid->Supports,17.95,P-MCD5130,"This elbow sleeve with gel buttress gives comfortable, breathable relief from a range of conditions affecting the elbow area, including arthritis, bursitis, tendonitis, golfer’s elbow and tennis elbow   Bi-lateral gel buttresses provide soothing targeted compression  4-way stretch elastic material for increased compression and fit without heat retention  Suitable if allergic to neoprene  Fits left or right",,,,https://www.inishpharmacy.com/p/mcdavid-elastic-elbow-sleeve-with-gel-buttresses-level-2-advanced-5130-/p-mcd5130
Diclac Relief Diclofenac 1% Pain Relief Gel 100g,Medicines->Pain Relief ,7.95,diclac-100,"Diclac Relief 1% Gel is an anti-inflammatory gel used for pain relief and to reduce inflammation. Diclac Relief is suitable for use with injured or damaged joints, muscles, tendons, ligaments and in local soft tissue bruising.  You Must Be Aged Over 18 Years to Purchase This Produc","Do not use Diclac Relief Gel if:   You have ever had an asthma attach, hives, runny nose or wheezing after taking aspirin or other NSAIDs.  You are allergic to aspirin, other NSAIDs or to any of the ingrediaents.  You are prenant or breastfeeding.  You are taking Diclofenac or any other NSAIDs.  You are under 14 years of age.    KEEP ALL MEDICINES OUT OF THE EACH OF CHILDREN.  READ THE PATIENT LEAFLET BEFORE TAKING THIS MEDICATION.",Adults and children over 14 years: Apply a small amount of gel and gently run into the skin around the painful or swollen area. Diclac Relief Gel can be used 3-4 times per day. Do not cover the area with dressings. Do not use for longer than 7 days in a row.,Diclofenac Sodium 1% w/w,https://www.inishpharmacy.com/p/diclac-relief-diclofenac-1-pain-relief-gel-100g/diclac-100
