Title,Category,Price,Product Code/ SKU,Short Description,Long Description,How to Use,Active Ingredients,Product URL
Bio-Kult Candea Advanced Probiotic Multi-Strain Formula 60 Pack,Vitamins,14.95,400353,"Help strengthen your defences with Bio-Kult Candéa, designed for those who suffer Candida infections (Thrush). Bio-Kult Candéa contains seven strains of probiotic bacteria along with added garlic and grapefruit seed extract - both of which are well known for their naturally powerful properties.","What is Candida?  At least one third of healthy people have the  Candida  fungus in the mouth, intestine or the vagina - but it's normally harmless. However, it can turn into what is known as an invasive fungus, and cause a condition called candidiasis.  Bio-Kult Candéa contains seven strains of probiotic bacteria along with added garlic and grapefruit seed extract - both of which are well known for their naturally powerful properties. Bio-Kult Candéa capsules can be pulled apart and the contents sprinkled on to food, mixed in a drink or swallowed whole.  Bio-Kult Candéa is a scientifically developed 7 strain probiotic with garlic and grapefruit seed extract. Containing 7 strains of probiotic bacteria that can be found naturally in the digestive system, and are proven to survive the high acidity of the stomach.  Contents per Capsule: Grapefruit seed extract 130mg Garlic 60mg Probiotics 1 billion CFU/daily dose (1x10 9  CFU/day) Bio-Kult Candéa contains traces of soya and traces of milk products at a level which would not affect lactose intolerance sufferers. Keep out of reach of children. Ingredients: Cellulose (bulking agent), Grapefruit Seed Extract, Garlic, Probiotic Cultures (see below), Vegetable Capsule (Hydroxypropylmethyl Cellulose). Probiotic cultures NCIMB Lactobacillus casei  PXN37  Lactobacillus rhamnosus  PXN54  Lactobacillus acidophilus  PXN35  Lactobacillus delbrueckii ssp. Bulgaricus  PXN39  Streptococcus thermophilus  PXN66  Bifidobacterium breve  PXN25 Bifidobacterium longum  PXN30 Storage: Store in a cool dry place out of direct sunlight.Does not need refrigeration.","Two capsules daily with or after the main meal. Bio-Kult Candéa capsules can be pulled apart and the contents sprinkled on to food, mixed in a drink or swallowed whole.",Grapefruit seed extract 130mg Garlic 60mg Probiotics 1 billion CFU/daily dose (1x10 9  CFU/day) Bio-Kult Candéa contains traces of soya and traces of milk products at a level which would not affect lactose intolerance sufferers.,https://www.inishpharmacy.com/p/bio-kult-candea-advanced-probiotic-multi-strain-formula-60-pack/400353
Aluxe Tahiti Hexagon Aviator Pink,Health->Travel->Sunglasses,,ALUXE-TAHITI-PINK,Style up your summer look with the Rosie Connolly Aluxe Sunglasses range.  The Aluxe sunglasses will transform your look instantly while keeping your eyes protected from the sun rays.,,,,https://www.inishpharmacy.com/p/aluxe-tahiti-hexagon-aviator-pink/aluxe-tahiti-pink
Anthisan Cream 25g,Health->Travel->Bite & Sting Relief/Prevention,5.95,300039,Effective cream for relieving bug bites and stings. Highly recommended by Inish Pharmacy.,,,,https://www.inishpharmacy.com/p/anthisan-cream-25g/300039
Apex Four-Sided Finger Splint (Large),Health->Travel->First Aid,5.99,77003,This splint has 4 sides to help injuries heal & prevents re-injury with an open design that allows air circulation. The foam padding adds comfort.,,,,https://www.inishpharmacy.com/p/apex-four-sided-finger-splint-large/77003
Apex Four-Sided Splint (Medium),Health->Travel->First Aid,5.99,77002,This splint has 4 sides to help injuries heal & prevents re-injury withan open design that allows air circulation. The foam padding adds comfort.,,,,https://www.inishpharmacy.com/p/apex-four-sided-splint-medium/77002
Beauty Formulas Active Oral Care Travel Toothbrush 2 Pack,Health->Travel->Travel Adaptors & Accessories,0.95,BF88185,Beauty Formulas Active Oral Care Travel Toothbrush is the ideal toothbrush to take when travelling. This convenient medium toothbrush comes with a compact head that has a functional folding design. Ideal to bring in your hand luggage.,,,,https://www.inishpharmacy.com/p/beauty-formulas-active-oral-care-travel-toothbrush-2-pack/bf88185
Aluxe Tahiti Hexagon Aviator Gold Black,Health->Travel->Sunglasses,,ALUXE-TAHITI-BKGLD,,,,,https://www.inishpharmacy.com/p/aluxe-tahiti-hexagon-aviator-gold-black/aluxe-tahiti-bkgld
Aluxe San Lucas Aviator Silver Mirrored,Health->Travel->Sunglasses,,ALUXE06SILVER,,,,,https://www.inishpharmacy.com/p/aluxe-san-lucas-aviator-silver-mirrored/aluxe06silver
Alpine SwimSafe Earplugs Special Water Filters & Free Minibox,Health->Other Healthcare->Ear Care,,ALPINESWIMSAFE,"The Alpine SwimSafe Earplugs have been designed to help protect the ears against water when swimming, showering or any water sports. The SwimSafe earplugs help to keep water out from the ears which is ideal if you need to use for ear infections or trying to prevent ear infections from occurring.  Includes a Free Miniboxx with every SwimSafe purchase.",,,,https://www.inishpharmacy.com/p/alpine-swimsafe-earplugs-special-water-filters-and-free-minibox/alpineswimsafe
Alpine Pluggies Kids Earplugs Maximum Protection & Free Stickers,Health->Other Healthcare->Ear Care,,ALPINEPLUGGIESKIDS,The Alpine Pluggies Kids Earplugs has been designed to help protect small ears against harmful loud noises and water. These pluggies are soft and comfortable to wear for children aged from 3-12 years old.   Free six fun stickers with every Alpine Pluggies Kids purchase,,,,https://www.inishpharmacy.com/p/alpine-pluggies-kids-earplugs-maximum-protection-and-free-stickers/alpinepluggieskids
